"Module","URL","Title","BodyCharacters","Controls","Tables","TableRows","Comboboxes","TabStates","CaptureStatus"
"home","https://mgm.ibos.io/","MANAGERIUM","2628","7","0","0","1","0","captured"
"accounts","https://mgm.ibos.io/accounts/accDashboard","Account Dashboard","3903","12","1","31","2","0","captured"
"accounts","https://mgm.ibos.io/accounts/bankAccount","Regular Banking","2557","34","1","5","3","5","captured"
"accounts","https://mgm.ibos.io/accounts/budgetSetup","Budget Landing","2502","27","2","4","2","1","captured"
"accounts","https://mgm.ibos.io/accounts/businessTransaction","Accounting Journal","2033","11","0","0","1","3","captured"
"accounts","https://mgm.ibos.io/accounts/centerSetup","Center Setup","2139","17","1","1","3","0","captured"
"accounts","https://mgm.ibos.io/accounts/chequeDesign","Expense Report","2079","18","1","2","3","0","captured"
"accounts","https://mgm.ibos.io/accounts/chequeIssue","Expense Report","2021","12","0","0","3","0","captured"
"accounts","https://mgm.ibos.io/accounts/chequeSetup","Cheque Setup","2124","19","0","0","2","4","captured"
"accounts","https://mgm.ibos.io/accounts/expenseIncomeHead","Chart Of Accounts","2104","15","1","1","2","3","captured"
"accounts","https://mgm.ibos.io/accounts/expenseOrAdvance","Expense/Advance","2041","19","0","0","2","4","captured"
"accounts","https://mgm.ibos.io/accounts/financialReport","Ledger Report","2143","21","0","0","5","0","captured"
"accounts","https://mgm.ibos.io/accounts/fundTransfer","Fund Transfer","2372","23","1","2","3","5","captured"
"accounts","https://mgm.ibos.io/accounts/lcmargin","LC Margin","2010","14","0","0","1","2","captured"
"accounts","https://mgm.ibos.io/accounts/othersReport","Vat and Tax Register Report","2086","16","0","0","2","0","captured"
"accounts","https://mgm.ibos.io/accounts/Project","Project Accounting","2115","22","0","0","4","3","captured"
"asset","https://mgm.ibos.io/asset/assetAssign","Asset - Asset Assign","2296","20","3","5","2","1","captured"
"asset","https://mgm.ibos.io/asset/assetDashboard","Asset - Asset Dashboard","2131","7","0","0","1","0","captured"
"asset","https://mgm.ibos.io/asset/assetDepreciation","Asset - Depreciation","2201","17","2","3","1","1","captured"
"asset","https://mgm.ibos.io/asset/assetDisposal","Asset - Disposal","2196","18","2","3","1","3","captured"
"asset","https://mgm.ibos.io/asset/assetMaintenance","Asset Maintenance","2184","16","2","3","1","1","captured"
"asset","https://mgm.ibos.io/asset/assetRegister","Asset Management - Asset Registration","2507","24","2","3","5","3","captured"
"asset","https://mgm.ibos.io/asset/assetReport","Asset - Asset Report","2561","22","2","3","5","1","captured"
"commonapproval","https://mgm.ibos.io/commonapproval","Approval","3650","7","0","0","1","0","captured"
"config","https://mgm.ibos.io/config/approvalsetup","Configuration - Approval Setup","2215","19","2","3","1","1","captured"
"config","https://mgm.ibos.io/config/custoemerProfile","Customer Profile","3270","44","2","8","5","2","captured"
"config","https://mgm.ibos.io/config/employee","Configuration - Employee List","3596","79","2","11","4","1","captured"
"config","https://mgm.ibos.io/config/item","Configuration - Item","12986","271","2","63","6","2","captured"
"config","https://mgm.ibos.io/config/otherPartnerProfile","Partner","2172","21","0","0","4","4","captured"
"config","https://mgm.ibos.io/config/profile","Configuration - Company Profile","2804","36","2","4","1","0","captured"
"config","https://mgm.ibos.io/config/responsibilityTransfer","Configuration - Responsibility Transfer","2232","21","2","3","3","1","captured"
"config","https://mgm.ibos.io/config/supplierProfile","Supplier Profile","2121","21","0","0","5","0","captured"
"config","https://mgm.ibos.io/config/userGroup","Configuration - User Group","2120","16","2","3","1","1","captured"
"config","https://mgm.ibos.io/config/warehouse","MANAGERIUM","6160","67","2","52","1","1","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/acknowledgementLetter","HR - Acknowledgement & Issue","2415","30","2","4","4","1","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/attendance","HR - Daily Attendance","2512","21","1","3","4","1","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/bonus","Bonus Advice","2022","13","0","0","2","2","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/calendarAssign","HR - Dynamic Calendar","2202","23","0","0","6","1","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/config","Configuration/Policies","2243","32","1","1","1","12","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/dashboard","HR - Dashboard","3602","10","1","2","3","0","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/increment","HR - Increment","2085","21","0","0","3","1","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/leave&Movement","Leave & Movement","2289","33","3","6","3","2","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/overtime","HR - Overtime","2155","10","2","3","1","1","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/pendingApproval","HR - Pending Approval","2011","11","0","0","2","1","captured"
"hrAdmin","https://mgm.ibos.io/hrAdmin/profile","HR - Basic Information","2241","11","2","3","1","1","captured"
