"URL","Context","TableIndex","Rows","Columns","FirstRow"
"https://mgm.ibos.io/accounts/accDashboard","base","0","31","5","SL | Ratio Name | Std Ratio | Act Ratio | Matric"
"https://mgm.ibos.io/accounts/bankAccount","base","0","5","7","SL | Bank Name | Branch Name | Account Holder | Account Type | Account No | Action"
"https://mgm.ibos.io/accounts/budgetSetup","base","0","1","11"," | SL | Action | Budget Code | Create Date | Budget Year | Budget Name | Budget Type | Total Budget Amount | Status | "
"https://mgm.ibos.io/accounts/budgetSetup","base","1","3","10"," | SL | Action | Budget Code | Create Date | Budget Year | Budget Name | Budget Type | Total Budget Amount | Status"
"https://mgm.ibos.io/accounts/centerSetup","base","0","1","9","SL | Create Date | Office Name | Type | Center Code | Center Name | Description | Created By | Action"
"https://mgm.ibos.io/accounts/chequeDesign","base","0","2","5","SL | Bank Name | Width | Height | Action"
"https://mgm.ibos.io/accounts/expenseIncomeHead","base","0","1","6","SL | Code | Description | Amount | Account Type | Action"
"https://mgm.ibos.io/accounts/fundTransfer","base","0","2","11","SL | Pay Date | Req Code | Out Code | From/Sending Office | Req./Receive Office | Responsible Person | Sent Amount | Received Amount | Remaining Amount | In/Receive"
"https://mgm.ibos.io/asset/assetAssign","base","0","1","7","SL | Action | Asset Register Code | Asset Name | Assign To (Employee/Department) | Assigned Date | "
"https://mgm.ibos.io/asset/assetAssign","base","1","2","6","SL | Action | Asset Register Code | Asset Name | Assign To (Employee/Department) | Assigned Date"
"https://mgm.ibos.io/asset/assetAssign","base","2","2","5","SL | Asset Register Code | Asset Item Name | Assign To (Employee/Department) | Assigned Date"
"https://mgm.ibos.io/asset/assetDepreciation","base","0","1","6"," | SL | Depreciation Run Date | Depreciation Run By | Total Depreciation | "
"https://mgm.ibos.io/asset/assetDepreciation","base","1","2","5"," | SL | Depreciation Run Date | Depreciation Run By | Total Depreciation"
"https://mgm.ibos.io/asset/assetDisposal","base","0","1","8","SL | Date | Customer | Total Amount | Rece. Amount | Pending Amount | Action | "
"https://mgm.ibos.io/asset/assetDisposal","base","1","2","7","SL | Date | Customer | Total Amount | Rece. Amount | Pending Amount | Action"
"https://mgm.ibos.io/asset/assetMaintenance","base","0","1","8","SL | Action | Asset Register Code | Asset Name | From Date | To Date | Cost | "
"https://mgm.ibos.io/asset/assetMaintenance","base","1","2","7","SL | Action | Asset Register Code | Asset Name | From Date | To Date | Cost"
"https://mgm.ibos.io/asset/assetRegister","base","0","1","15","Code | Asset | Division | Category | Sub Category | Minor Category | Identifier | Identifier Value | Reg.Date | Book Value | Tot.Depr | Tot.Maint. | Status | Edit | "
"https://mgm.ibos.io/asset/assetRegister","base","1","2","14","Code | Asset | Division | Category | Sub Category | Minor Category | Identifier | Identifier Value | Reg.Date | Book Value | Tot.Depr | Tot.Maint. | Status | Edit"
"https://mgm.ibos.io/asset/assetReport","base","0","1","17","SL | Code | Asset | Identification | Assign To | Division | Category | Sub Category | Life Time (Year) | Warranty Start Date | Warranty End Date | Book Value | Total Depr. Amount | Rece. Value | #Maint. | ৳ Maint. | "
"https://mgm.ibos.io/asset/assetReport","base","1","2","16","SL | Code | Asset | Identification | Assign To | Division | Category | Sub Category | Life Time (Year) | Warranty Start Date | Warranty End Date | Book Value | Total Depr. Amount | Rece. Value | #Maint. | ৳ Maint."
"https://mgm.ibos.io/config/approvalsetup","base","0","1","6","SL | Action | Pipeline Name | Super Approver | Feature Name | "
